Ano,Estado,Mes,Numero,Regiao,Mes_int,Trimestre
1998,Acre,Janeiro,0,N,1,Q1
1999,Acre,Janeiro,0,N,1,Q1
2000,Acre,Janeiro,0,N,1,Q1
2001,Acre,Janeiro,0,N,1,Q1
2002,Acre,Janeiro,0,N,1,Q1
2003,Acre,Janeiro,10,N,1,Q1
2004,Acre,Janeiro,0,N,1,Q1
2005,Acre,Janeiro,12,N,1,Q1
2006,Acre,Janeiro,4,N,1,Q1
2007,Acre,Janeiro,0,N,1,Q1
2008,Acre,Janeiro,0,N,1,Q1
2009,Acre,Janeiro,0,N,1,Q1
2010,Acre,Janeiro,1,N,1,Q1
2011,Acre,Janeiro,0,N,1,Q1
2012,Acre,Janeiro,0,N,1,Q1
2013,Acre,Janeiro,0,N,1,Q1
2014,Acre,Janeiro,0,N,1,Q1
2015,Acre,Janeiro,1,N,1,Q1
2016,Acre,Janeiro,12,N,1,Q1
2017,Acre,Janeiro,0,N,1,Q1
1998,Acre,Fevereiro,0,N,2,Q1
1999,Acre,Fevereiro,0,N,2,Q1
2000,Acre,Fevereiro,0,N,2,Q1
2001,Acre,Fevereiro,0,N,2,Q1
2002,Acre,Fevereiro,1,N,2,Q1
2003,Acre,Fevereiro,0,N,2,Q1
2004,Acre,Fevereiro,3,N,2,Q1
2005,Acre,Fevereiro,0,N,2,Q1
2006,Acre,Fevereiro,0,N,2,Q1
2007,Acre,Fevereiro,5,N,2,Q1
2008,Acre,Fevereiro,0,N,2,Q1
2009,Acre,Fevereiro,2,N,2,Q1
2010,Acre,Fevereiro,0,N,2,Q1
2011,Acre,Fevereiro,0,N,2,Q1
2012,Acre,Fevereiro,0,N,2,Q1
2013,Acre,Fevereiro,0,N,2,Q1
2014,Acre,Fevereiro,0,N,2,Q1
2015,Acre,Fevereiro,2,N,2,Q1
2016,Acre,Fevereiro,5,N,2,Q1
2017,Acre,Fevereiro,1,N,2,Q1
1998,Acre,Março,0,N,3,Q1
1999,Acre,Março,0,N,3,Q1
2000,Acre,Março,11,N,3,Q1
2001,Acre,Março,0,N,3,Q1
2002,Acre,Março,0,N,3,Q1
2003,Acre,Março,0,N,3,Q1
2004,Acre,Março,0,N,3,Q1
2005,Acre,Março,3,N,3,Q1
2006,Acre,Março,0,N,3,Q1
2007,Acre,Março,2,N,3,Q1
2008,Acre,Março,0,N,3,Q1
2009,Acre,Março,1,N,3,Q1
2010,Acre,Março,0,N,3,Q1
2011,Acre,Março,0,N,3,Q1
2012,Acre,Março,1,N,3,Q1
2013,Acre,Março,2,N,3,Q1
2014,Acre,Março,1,N,3,Q1
2015,Acre,Março,2,N,3,Q1
2016,Acre,Março,0,N,3,Q1
2017,Acre,Março,0,N,3,Q1
1998,Acre,Abril,0,N,4,Q2
1999,Acre,Abril,0,N,4,Q2
2000,Acre,Abril,1,N,4,Q2
2001,Acre,Abril,0,N,4,Q2
2002,Acre,Abril,0,N,4,Q2
2003,Acre,Abril,1,N,4,Q2
2004,Acre,Abril,2,N,4,Q2
2005,Acre,Abril,1,N,4,Q2
2006,Acre,Abril,0,N,4,Q2
2007,Acre,Abril,0,N,4,Q2
2008,Acre,Abril,0,N,4,Q2
2009,Acre,Abril,0,N,4,Q2
2010,Acre,Abril,3,N,4,Q2
2011,Acre,Abril,2,N,4,Q2
2012,Acre,Abril,1,N,4,Q2
2013,Acre,Abril,19,N,4,Q2
2014,Acre,Abril,7,N,4,Q2
2015,Acre,Abril,3,N,4,Q2
2016,Acre,Abril,0,N,4,Q2
2017,Acre,Abril,1,N,4,Q2
1998,Acre,Maio,0,N,5,Q2
1999,Acre,Maio,0,N,5,Q2
2000,Acre,Maio,1,N,5,Q2
2001,Acre,Maio,0,N,5,Q2
2002,Acre,Maio,0,N,5,Q2
2003,Acre,Maio,6,N,5,Q2
2004,Acre,Maio,7,N,5,Q2
2005,Acre,Maio,2,N,5,Q2
2006,Acre,Maio,8,N,5,Q2
2007,Acre,Maio,1,N,5,Q2
2008,Acre,Maio,0,N,5,Q2
2009,Acre,Maio,3,N,5,Q2
2010,Acre,Maio,9,N,5,Q2
2011,Acre,Maio,3,N,5,Q2
2012,Acre,Maio,3,N,5,Q2
2013,Acre,Maio,4,N,5,Q2
2014,Acre,Maio,1,N,5,Q2
2015,Acre,Maio,2,N,5,Q2
2016,Acre,Maio,21,N,5,Q2
2017,Acre,Maio,10,N,5,Q2
1998,Acre,Junho,3,N,6,Q2
1999,Acre,Junho,0,N,6,Q2
2000,Acre,Junho,1,N,6,Q2
2001,Acre,Junho,1,N,6,Q2
2002,Acre,Junho,0,N,6,Q2
2003,Acre,Junho,0,N,6,Q2
2004,Acre,Junho,5,N,6,Q2
2005,Acre,Junho,27,N,6,Q2
2006,Acre,Junho,1,N,6,Q2
2007,Acre,Junho,4,N,6,Q2
2008,Acre,Junho,0,N,6,Q2
2009,Acre,Junho,0,N,6,Q2
2010,Acre,Junho,1,N,6,Q2
2011,Acre,Junho,10,N,6,Q2
2012,Acre,Junho,7,N,6,Q2
2013,Acre,Junho,8,N,6,Q2
2014,Acre,Junho,17,N,6,Q2
2015,Acre,Junho,40,N,6,Q2
2016,Acre,Junho,87,N,6,Q2
2017,Acre,Junho,45,N,6,Q2
1998,Acre,Julho,37,N,7,Q3
1999,Acre,Julho,1,N,7,Q3
2000,Acre,Julho,1,N,7,Q3
2001,Acre,Julho,3,N,7,Q3
2002,Acre,Julho,39,N,7,Q3
2003,Acre,Julho,168,N,7,Q3
2004,Acre,Julho,42,N,7,Q3
2005,Acre,Julho,368,N,7,Q3
2006,Acre,Julho,33,N,7,Q3
2007,Acre,Julho,29,N,7,Q3
2008,Acre,Julho,41,N,7,Q3
2009,Acre,Julho,31,N,7,Q3
2010,Acre,Julho,126,N,7,Q3
2011,Acre,Julho,93,N,7,Q3
2012,Acre,Julho,71,N,7,Q3
2013,Acre,Julho,54,N,7,Q3
2014,Acre,Julho,60,N,7,Q3
2015,Acre,Julho,109,N,7,Q3
2016,Acre,Julho,533,N,7,Q3
2017,Acre,Julho,457,N,7,Q3
1998,Acre,Agosto,130,N,8,Q3
1999,Acre,Agosto,63,N,8,Q3
2000,Acre,Agosto,136,N,8,Q3
2001,Acre,Agosto,396,N,8,Q3
2002,Acre,Agosto,728,N,8,Q3
2003,Acre,Agosto,1976,N,8,Q3
2004,Acre,Agosto,645,N,8,Q3
2005,Acre,Agosto,4198,N,8,Q3
2006,Acre,Agosto,839,N,8,Q3
2007,Acre,Agosto,960,N,8,Q3
2008,Acre,Agosto,445,N,8,Q3
2009,Acre,Agosto,194,N,8,Q3
